player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Adam Smith,Bournemouth,0,0,0,0.0,0.0,0.0,6,2526
Virgil van Dijk,Liverpool,0,0,0,0.0,0.0,0.0,14,2526
James Ward-Prowse,West Ham,0,0,0,0.0,0.0,0.0,5,2526
Adama Traoré,Fulham,0,0,0,0.0,0.0,0.0,9,2526
Sam Byram,Leeds,0,0,0,0.0,0.0,0.0,1,2526
Harrison Reed,Fulham,0,0,0,0.0,0.0,0.0,1,2526
Patrick Roberts,Sunderland,0,0,0,0.0,0.0,0.0,1,2526
Axel Tuanzebe,Burnley,0,0,0,0.0,0.0,0.0,7,2526
Sam Johnstone,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0,10,2526
Tyrone Mings,Aston Villa,0,0,0,0.0,0.0,0.0,7,2526
Gianluigi Donnarumma,Manchester City,0,0,0,0.0,0.0,0.0,11,2526
Alisson,Liverpool,0,0,0,0.0,0.0,0.0,9,2526
Emil Krafth,Newcastle United,0,0,0,0.0,0.0,0.0,1,2526
Dominic Solanke,Tottenham,0,0,0,0.0,0.0,0.0,2,2526
Andrew Robertson,Liverpool,0,0,0,0.0,0.0,0.0,9,2526
Arthur Masuaku,Sunderland,0,0,0,0.0,0.0,0.0,3,2526
Lewis Cook,Bournemouth,0,0,0,0.0,0.0,0.0,6,2526
Mateo Kovacic,Manchester City,0,0,0,0.0,0.0,0.0,1,2526
Rodri,Manchester City,0,0,0,0.0,0.0,0.0,6,2526
Oleksandr Zinchenko,Nottingham Forest,0,0,0,0.0,0.0,0.0,3,2526
Issa Diop,Fulham,0,0,0,0.0,0.0,0.0,3,2526
Olivier Boscagli,Brighton,0,0,0,0.0,0.0,0.0,1,2526
Odsonne Edouard,Crystal Palace,0,0,0,0.0,0.0,0.0,1,2526
Emiliano Martinez,Aston Villa,0,0,0,0.0,0.0,0.0,11,2526
Ashley Barnes,Burnley,0,0,0,0.0,0.0,0.0,1,2526
Kai Havertz,Arsenal,0,0,0,0.0,0.0,0.0,1,2526
Kevin Danso,Tottenham,0,0,0,0.0,0.0,0.0,10,2526
Nick Pope,Newcastle United,0,0,0,0.0,0.0,0.0,12,2526
Aaron Wan-Bissaka,West Ham,0,0,0,0.0,0.0,0.0,10,2526
Tosin Adarabioyo,Chelsea,0,0,0,0.0,0.0,0.0,9,2526
Daniel James,Leeds,0,0,0,0.0,0.0,0.0,10,2526
Aaron Ramsdale,Newcastle United,0,0,0,0.0,0.0,0.0,3,2526
Randal Kolo Muani,Tottenham,0,0,0,0.0,0.0,0.0,7,2526
Lewis Dunk,Brighton,0,0,0,0.0,0.0,0.0,14,2526
Victor Lindelöf,Aston Villa,0,0,0,0.0,0.0,0.0,3,2526
Niclas Füllkrug,West Ham,0,0,0,0.0,0.0,0.0,8,2526
Will Hughes,Crystal Palace,0,0,0,0.0,0.0,0.0,12,2526
Douglas Luiz,Nottingham Forest,0,0,0,0.0,0.0,0.0,4,2526
Daichi Kamada,Crystal Palace,0,0,0,0.0,0.0,0.0,12,2526
Timothy Castagne,Fulham,0,0,0,0.0,0.0,0.0,10,2526
Nikola Milenkovic,Nottingham Forest,0,0,0,0.0,0.0,0.0,14,2526
Pau Torres,Aston Villa,0,0,0,0.0,0.0,0.0,11,2526
Joachim Andersen,Fulham,0,0,0,0.0,0.0,0.0,13,2526
Ibrahima Konaté,Liverpool,0,0,0,0.0,0.0,0.0,14,2526
Jadon Sancho,Aston Villa,0,0,0,0.0,0.0,0.0,6,2526
Ethan Ampadu,Leeds,0,0,0,0.0,0.0,0.0,12,2526
Reiss Nelson,Brentford,0,0,0,0.0,0.0,0.0,3,2526
Martin Dubravka,Burnley,0,0,0,0.0,0.0,0.0,14,2526
Joe Willock,Newcastle United,0,0,0,0.0,0.0,0.0,5,2526
Curtis Jones,Liverpool,0,0,0,0.0,0.0,0.0,12,2526
Rayan Ait Nouri,Manchester City,0,0,0,0.0,0.0,0.0,4,2526
Konstantinos Mavropanos,West Ham,0,0,0,0.0,0.0,0.0,8,2526
Dwight McNeil,Everton,0,0,0,0.0,0.0,0.0,6,2526
Tom Cairney,Fulham,0,0,0,0.0,0.0,0.0,7,2526
Matt Doherty,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0,4,2526
William Saliba,Arsenal,0,0,0,0.0,0.0,0.0,11,2526
Matz Sels,Nottingham Forest,0,0,0,0.0,0.0,0.0,14,2526
Naif Aguerd,West Ham,0,0,0,0.0,0.0,0.0,2,2526
Borna Sosa,Crystal Palace,0,0,0,0.0,0.0,0.0,1,2526
Christian Nørgaard,Arsenal,0,0,0,0.0,0.0,0.0,2,2526
Benoit Badiashile Mukinayi,Chelsea,0,0,0,0.0,0.0,0.0,4,2526
Bafode Diakite,Bournemouth,0,0,0,0.0,0.0,0.0,11,2526
Max Kilman,West Ham,0,0,0,0.0,0.0,0.0,13,2526
Reinildo,Sunderland,0,0,0,0.0,0.0,0.0,11,2526
Wesley Fofana,Chelsea,0,0,0,0.0,0.0,0.0,6,2526
Dean Henderson,Crystal Palace,0,0,0,0.0,0.0,0.0,14,2526
Ezri Konsa Ngoyo,Aston Villa,0,0,0,0.0,0.0,0.0,13,2526
James Justin,Leeds,0,0,0,0.0,0.0,0.0,7,2526
Jean-Ricner Bellegarde,Wolverhampton Wanderers,0,0,0,0.0,0.0,0.0,13,2526
Sebastiaan Bornauw,Leeds,0,0,0,0.0,0.0,0.0,1,2526
Taiwo Awoniyi,Nottingham Forest,0,0,0,0.0,0.0,0.0,4,2526
Caoimhin Kelleher,Brentford,0,0,0,0.0,0.0,0.0,14,2526
Igor Julio,West Ham,0,0,0,0.0,0.0,0.0,4,2526
